id, body, author
442, "برتراند راسل بر این باور بود که «نسلی که تاب ملال را ندارد، نسل مردان کوچک است.» به نظر من، در این باره حق با اوست. بدون توانایی تحمل میزان خاصی از ملال، زندگی ما زندگی شوربختانه‌ای خواهد بود، چون زندگی به فرار مستمر از ملال تبدیل می‌شود. بنابراین همه‌ی کودکان باید به گونه‌ای پرورش یابند که تابِ تحملِ ملال را داشته باشند. فعال نگه داشتن دائمی کودک، به معنای نادیده گرفتن بخش مهمی از تربیت اوست.", آرتور شوپنهاور
443, "شخصاً همیشه آمادهٔ آموختن هستم. با وجود این، هیچ‌گاه دوست ندارم که به من درس بدهند.", لارس اسوندسن
444, مادر هرزگی شادمانی نیست بلکه ناشادمانی است., نصرالله منشی
445, ریاکاران کسانی هستند که به دیگران معیارهایی را اعمال می کنند که خود از قبول آن معیار ها سر باز می زنند., آرتور شوپنهاور
446, "اینجا و آنجا بر زمین، با گونه ای عشق رویاروی می شویم که در آن، عطش تصاحب یکدیگر، جای خود را به اشتیاقی نوین می دهد. اشتیاقی والا و  مشترک برای رسیدن به آرمانی فراتر از آن دو. ولی چه کسی چنین عشقی را می شناسد؟ چه کسی آن را تجربه کرده است؟ شاید نام درست آن دوستی باشد.", نوآم چامسکی
447, تا به یک بیمار یا یک سال‌خورده یا یک جَسَد بر می‌خورند در دَم می‌گویند: «زندگی باطل است!» اما اینان تنها خود باطل‌ اند؛ خود و چشمانِ شان که جز یک نما از هستی را نمی‌بیند. فرو رفته در عمق افسردگی و آرزومندِ یک حادثه‌ی کوچک که مرگ‌ آوَرَد: این گونه چشم‌ به راه‌ اند و دندان برهم می‌سایند., فردریش نیچه
448, "هنر را نمی‌توان با سفارش پدید آورد، تنها چکمه را می‌توان سفارش داد.", فردریش نیچه
449, بعضی‌ها سخت شیفته قدما هستند و بعضی دیگر به شدت هواخواه تجدد می‌باشند؛ فقط عدهٔ معدودی هستند که می‌توانند حد وسط را نگاه‌ دارند؛ نه آرای درست قدما را به دور می‌اندازند و نه اختراعات صحیح نوین را مسخره می‌کنند., حکیم عمر خیام
450, انسان گرگ انسان است. البته «گرگ ها یکدیگر را نمی خورند» و این خود نشان می دهد که گرگ نسبت به گرگ «رفتار انسانی» دارد!, فرانسیس بیکن
451, "آکادمی‌هایی که به خرج دولت تأسیس می‌گردند برای تربیت استعدادهای مردم نیست بلکه برای جلوگیری از آن است. ولی در دولت‌های آزاد که تعلیم برای هرکس به مسؤولیت و خرج خودش آزاد است، علم و هنر تا آخرین درجه پیشرفت می‌کند.", توماس هابز
452, "به گمانِ من، تیغ گُشادن در برابرِ هر چیزِ خُرد، خِرَدمندی خارپُشتان است.", اسپینوزا
453, "درخشان ترین پیروزی من،  قانع کردن همسرم برای ازدواجمان بود.", فردریش نیچه
454, "والاتر و برتر از خویش بساز؛ ولی نخست باید خود را ساخته باشی، استوار در جسم و روح. مبادا تنها خود را تکثیر کنی، که بایست چیزی والاتر بسازی.", وینستون چرچیل
455, "اعجاز نقاشی در این است که بدون جستجو کردن، گمشده خود را می‌یابیم.", فردریش نیچه
456, "هیچ چیز وحشت‌ناک‌تر از مرگ یک کودک، و هیچ چیز پوچ‌تر از مردن در یک تصادف اتومبیل نیست.", پابلو پیکاسو
457, "خدا، امید و خواب را برای جبران غم‌های زندگی به ما ارزانی داشته‌است.", آلبر کامو
458, نیش‌های چند مگس هرگز اسب چابک را از تاختن باز نمی‌دارد., فرانسوا ولتر
459, "یک هنرمند بزرگ، چیزها را همان‌طور که هستند نمی‌بیند، اگر می‌دید هنرمند نبود.", فرانسوا ولتر
460, "تجربه ساختنی نیست، چشیدنی است.", اسکار وایلد
461, "اتو رنکِ روان‌درمانگر در جایی گفته علت مشکلات همه‌ی زنانی که به او مراجعه کرده‌اند، این بوده که همسران‌شان به اندازه‌ی کافی خشن نبوده‌اند. به رغم ساده سازی بیش از اندازه این جمله، یک نکته افشاگرانه در آن است: کشت و کار عمیقانه سکس می‌تواند ما را چنان خودکامه و بی اعتنا به دیگران کند که نیروی - ساده‌ی عمل جنسی نابود شود و زن لذت حیاتی و بنیادین دریافت، باربرداشتن و حمل را از دست بدهد. «گاز گرفتن عاشقانه» - لحظه‌ی پرخاشجویی و تهاجم که معمولا در لحظه‌ی ارگاسم اتفاق می‌افتد ولی ممکن است در تمام طول عشق‌ورزی ناگزیر باشد - از لحاظ روان‌شناختی، کارکردی سازنده دارد و همان قدر که برای مرد پرمعناست، به همان اندازه و گاه بیشتر برای زن لذت‌بخش است.... در اینجا حتی ذره‌ای &nbsp;هم برای بازگشت به روابط جنسی زمخت و بدوی چانه نمی‌زنم. دلم هم نمی‌خواهد مرد یا زن هنوز جوانی را که برداشت‌اش از خشونت، اصرار صرف بر خواسته‌هایش از شریک جنسی‌اش است، دلداری دهم. من واژه‌ی خشونت را به معنای سالم آن به کار می‌برم یعنی ابراز وجودی که از قدرت سرچشمه می‌گیرد و نه از ضعف و پیوندی جدایی‌ناپذیر با حساسیت و مهربانی دارد.", آلبر کامو
462, به این دلیل این همه به طبیعت وحشی و آزاد علاقه داریم که این طبیعت هیچ نظری درباره ی ما ندارد., رولو می
463, آزادگی هرگز با معجزه از آسمان نصیب ما نمی شود., فردریش نیچه
464, جلوگیری از تکرار تاریخ کاری بیهوده‌است زیرا شخصیت آدمی طوری است که اجتناب از تکرار را غیر ممکن می‌سازد., فردریش نیچه
465, "خواندن کتاب‌های خوب، مکالمه با مردمان شرافتمند گذشته‌ است.", مارک تواین
466, "خوشا فراموشکاران، که کار حماقتهای خود را نیز «تمام» می‌کنند.", رنه دکارت
467, "هرگز در میان موجودات، مخلوقی که برای کبوتر شدن آفریده شده، کرکس نمی شود. این ویژگی در میان هیچیک از مخلوقات نیست جز آدمیان.", فردریش نیچه
468, "بانک‌ها از ارتش آماده به‌ جنگ، خطرناک‌ترند.", ویکتور هوگو
469, "از چشم‌انداز جوانی که بنگری، زندگی آینده‌ای دراز و بی‌پایان است؛ ولی از چشم‌انداز پیری، تنها گذشته‌ای بسیار کوتاه به چشمت می‌آید. وقتی با کشتی دور می‌شویم، اجزای ساحل ریز و ریزتر می‌شوند و امکان شناسایی و تمایزشان نیز کمتر؛ هم‌چون سال‌هایی که پشت سر نهاده‌ایم با همه رویدادها و تکاپوهایشان.", توماس جفرسون
470, "بوسه، اولین جرعه از جامی است که خداوند آن را از چشمه ی عشق پر ساخته است.", آرتور شوپنهاور
471, "بیزاری از اظهار حق‌شناسی چیز نادری است،و تنها از مردان برجسته‌ای بروز می‌کند که از میان فقیرترین طبقات برخاسته‌اند و هر قدم مجبور بوده‌اند کمک‌هایی را قبول کنند که همیشه به زهر اهانت آلوده بوده...", جبران خلیل جبران
472, "تاریخ نگاران شبیه افراد ناشنوا هستند، [ چرا که ] مدام به پرسش هایی پاسخ می گویند که هیچ کس از آنها نپرسیده است.", یوهان ولفگانگ گوته
473, "الگوی [بیمار] خودشیفته به شیوه‌های گوناگون ظاهر می‌شود: برخی بیماران احساس می‌کنند ممکن است دیگران را برنجانند، ولی خود را از هر نکوهش و انتقادی معاف می‌بینند؛ طبعا فکر می‌کنند عاشق هر کسی بشوند، او هم در مقابل عاشقشان می‌شود؛ فکر می‌کنند نباید برای دیگران صبر کنند؛ هدیه و غافلگیری و توجه از دیگران می‌خواهند، ولی خود چیزی به کسی نمی‌دهند؛ فکر می‌کنند همین که وجود دارند کافی‌ست تا مورد عشق و احترام قرار گیرند. در گروه درمانی فکر می‌کنند باید بیش از دیگران مورد توجه باشند و برای به‌دست آوردن این توجه هم نباید کوشش کنند؛ انتظار دارند گروه خود را به آنان برساند ولی لازم نیست آن‌ها خود را با کسی هماهنگ کنند. درمان‌گر باید بارها و بارها به این بیماران یادآوری کند که چنین انتظاراتی تنها در یک دوره زندگی قابل قبول است، آن هم وقتی‌ست که فرد نوزاد است و می‌تواند عشق بی‌قید و شرط از مادر بطلبد، بی‌آنکه نیاز به جبران باشد.", لئو تولستوی
474, "کسی که مبارزه کند، ممکن است شکست بخورد، ولی آنکه مبارزه نکند، شکست خورده هست.", اروین دیوید یالوم
475, صبح را [برای خود] با دیر بیدارشدن کوتاه نکنید؛ به‌صبح مانند پنجمین عنصر حیات بنگرید که قدری نیز مقدس است., برتولت برشت
476, "چرا تصمیم گیری دشوار است؟ در رمان جان گاردنر، با نام گِرندل، قهرمان داستان، پریشان از معمای زندگی، با کشیش خردمندی مشورت می کند و او دو عبارت ساده به زبان می آورد: «همه چیز رو به نابودی است» و «هر راه چاره ای، تو را از سایر راه ها محروم می سازد.» \\r\\nمفهوم «هر راه چاره ای، تو را از سایر راه ها محروم می سازد» همان است که در قلب بیشتر دشواری های موجود در تصمیم گیری نهفته است. در برابر هر «آری» باید «نه» ای هم باشد. تصمیم ها ارزان به دست نمی آیند، زیرا همواره با چشم پوشی از چاره ی دیگر همراهند.", آرتور شوپنهاور
477, "آنگاه پی بردم که، دست کم، من در سراسر این سال‌های دراز، طاعون‌زده بوده‌ام و با وجود این با همهٔ صمیمیتم گمان کرده‌ام که بر ضد طاعون می‌جنگم. دانستم که بطور غیرمستقیم مرگ هزاران انسان را تأیید کرده‌ام و با تصویب اعمال و اصولی که ناگزیر این مرگ‌ها را به دنبال دارند، حتی سبب این مرگ‌ها شده‌ام.", اروین دیوید یالوم
478, "بنیان‌های استوار جهان‌بینی ما و در نتیجه ژرف یا سطحی بودنش در سال‌های کودکی شکل می‌گیرد. چنین دیدگاهی بعدها پیچیده‌تر، مفصل‌تر و کامل‌تر می‌شود ولی بنیانش تغییر نمی‌کند.", آلبر کامو
479, "بیشتر انسان‌ها، هنگامی که در پایان عمر به گذشته می‌نگرند، در می‌یابند چقدر عاریتی و ناپایدار زیسته‌اند. وقتی می‌بینند آنچه گذاشته‌اند از دستشان برود بی‌آنکه قدرش را بدانند یا لذتش را ببرند، همان زندگی‌شان بوده، شگفت‌زده خواهند شد. و چنین انسانی فریب خورده از امید، رقصان به سوی بازوان مرگ می‌رود.", آرتور شوپنهاور
480, "فلسفه ی متکی به احتمالات که وابسته به حقیقتی نباشد، محکوم به نیستی است.", آرتور شوپنهاور
481, "اگر از نعمتهایی که خداوند هر روز به ما می دهد با آغوش باز لذت بریم، هنگامی که بدی فرا می رسد، نیروی کافی برای تاب آوردنش داریم.", حکیم عمر خیام
482, "اگر آدمی پدری خوب نداشته باشد، باید یکی را برای خود پیدا کند.", یوهان ولفگانگ گوته
483, "...می خواستم نه تنها قهرمان داستان من با مرگ خویش کنار بیاید بلکه به مراجعان خود نیز کمک کند تا با مرگ خویش مواجه شوند. دلیل انتخاب و معرفی موضوع مرگ در فرایند روان درمانی به سالهایی بازمی گردد که با بیماران سرطانی درمان ناپذیر کار می کردم. بیماران زیادی را دیدم که در مواجهه با مرگ پژمرده نشدند، بلکه برعکس دچار تغییراتی اساسی شدند که تنها می توان آن را رشد شخصیت، پختگی یا پیشرفت خردمندی نامید. آنها در الویت های زندگی خود تجدید نظر می کردند، موضوعات روزمره را ناچیز می شمردند، از داشته های مهم خود مانند کسانی که دوستشان دارند، از تغییر فصول، از شعر و موسیقی که مدتهای مدیدی از آنها غافل مانده بودند، شاکر و شادمان می شدند. یکی از بیمارانم می گفت:\\\""سرطانروانرنجورراشفامیبخشد.\\\""   اما افسوس که انسان باید تا لحظات آخر زندگی، هنگامی که بدنش مورد تهاجم سرطان قرار می گیرد، منتظر بماند تا بیاموزد چگونه زندگی کند.", فردریش نیچه
484, من یک دوره کلاس تندخوانی رفتم و «جنگ و صلح» را در ده دقیقه خواندم. مربوط به روسیه بود., اروین دیوید یالوم
485, ریشه‌ی اعتقاد از آن جا خشک می‌شود که بخواهند تحمیلش کنند., وودی آلن
486, انسان نمی تواند به تنهایی و برای خود زندگی کند؛ این مرگ است نه زندگی., حکیم عمر خیام
487, "ولی چه کسی می توانست درمانگر نیچه باشد؟ پس از جستجوی فراوان در تاریخ، روشن شد که در سال 1882، یعنی فقط 120 سال پیش، چنین مخلوقی روی زمین نبوده است. اگر نیچه برای کمک به طبیبی روی می آورد، به او می گفت بیماریِ عشق، یک مشکل طبی نیست و توصیه می کرد که برای آب درمانی و استراحت، موقتا در یکی از چشمه های آب معدنی اروپا ساکن شود. شاید هم به کشیشی دلسوز سپرده می شد تا  مشاوره مذهبی دریافت کند. درمانگر غیر روحانی چطور؟ کسی در کار نبود! رشته روان درمانی غیر مذهبی هنوز ابداع نشده بود و در انتظار فروید بود که در آن سال هنوز کارورز پزشکی بود و به حیطه ی روانپزشکی وارد نشده بود.", 
488, "دو اشتباه مهم که تقریبا همیشه باعث طرد شدن شما از یک گروه می‌شود، این است که سعی کنید خیلی زود رهبری گروه را در دست بگیرید و ثانیا خود را با موقعیت موجود گروه هماهنگ نکنید. این دقیقا همان کاری است که بچه های نامحبوب انجام می‌دهند.آنها به زور خودشان را داخل جمع می‌کنند، خیلی زود یا با قلدری سعی می‌کنند بازی را عوض کنند، یا عقیده‌ی خودشان را مطرح کنند و یا به سادگی با دیگران مخالفت کنند لاش آشکار برای جلب توجه) و شگفت آن که همین اعمال موجب طرد شدن یا مورد بی اعتنایی قرار گرفتن آنها می شود. برعکس بچه‌های محبوب و پرطرفدار، قبل از وارد شدن به گروه، مدتی را به تماشای آنها می‌گذرانند تا در جریان امور قرار گیرند و سپس کارهایی که مورد قبول آنهاست انجام می‌دهند. این بچه‌ها قبل از آن که ابتکار عمل را در دست گیرند و به اعضای گروه فرمان دهند منتظر می‌شوند تا اعتبار لازم را به دست آورند.", حکیم عمر خیام
489, "اعتماد تجلی یک نگاه خوشبینانه به واقعیت است. چون فقط یک آدم خوشبین، چنان باوری به همراهانش دارد که لازمه اعتماد است. فردی که اعتماد می‌کند آگاهانه سناریوهای منفی احتمالی را نادیده می‌گیرد - یا دست کم فرض را بر این می‌گذارد که این سناریوها جامه عمل نخواهند پوشید. اما در جوی که امروزه حاکم است گرایش غالب، گرایش معکوس است. یعنی نادیده گرفتن سناریوهای مثبت و بنیان گذاشتن پندار و کردار خویش بر سناریوهای منفی. در جو بی اعتمادی آدم گوش شنوایی برای اطلاعات و اخباری ندارد که نشان می‌دهد فلان پدیده آن قدر ها خطرناک نیست که آدم را به چنین هراسی بیاندازد. ... بنابراین روشن است که اعتماد در فرهنگ ترس سخت آسیب می‌بیند. ترس تاثیری سست کننده برا اعتماد دارد و وقتی اعتماد کم و کمتر شد، دامنه ترس بلند و بلندتر می شود.", دنیل گلمن
490, "هموطنان من، نپرسید کشورم چه کاری برایم می تواند بکند، بپرسید من چه کاری برای کشورم می توانم بکنم.", حکیم عمر خیام
491, بشر برای علایقش سخت تر می جنگند تا برای حقوقش., جان اف کندی
492, "دهقانی به یک غاز غذا می دهد. ابتدا حیوان ترسو مردد است و به این فکر می کند که: «چه اتفاقی افتاده است؟ چرا او به من غذا می دهد؟» موضوع هفته ها ادامه پیدا می کند تا اینکه بالاخره تردیدهای غاز از بین می رود. بعد از چند ماه غاز مطمئن می شود که: «من در قلب دهقان جا دارم.» و هرچه این غذا دادن ادامه می یابد تاییدی بر این باور او است. در حالی که غاز کاملا از خیرخواهی دهقان مطمئن شده است. یک روز در کمال ناباوری از قفسش بیرون کشیده می شود و کشاورز سرش را می برد. این غاز قربانی تفکر استقرایی شده است. تفکری با گرایش ترسیم نوعی یقین و اطمینان عالم گیر بر پایه مشاهدات منفرد.\\r\\nدیوید هیوم، فیلسوف قرن هجدهم، این تمثیل را برای هشدار دادن نسبت به خطرات این نوع تفکر به کار برد. با این همه تنها غازها نیستند که در دام این نوع از تفکر گرفتارند.", ناپلئون بناپارت
493, "تبعید یک فاجعه نیست بلکه یک حادثه ناگوار است و تغییر مکان، بخشی از زندگی است، انسان میتواند با کمک نیکی و احساس مسئولیت در همه جا در خانه باشد و احساس خوشبختی نماید.", رولف دوبلی
494, ذهنم زمستانی است اما در قلبم بهاری ابدی جاری است., سنکا
495, "یک رابطه‌ی دیالکتیک میان بی‌احساسی و خشونت وجود دارد. در بی‌احساسی زیستن، خشونت پدید می‌آورد؛... و خشونت، بی‌احساسی ایجاد می‌کند. خشونت جایگزین نهایی و ویرانگری‌ست که ناگهان سر بر می‌آورد تا خلأیی را که هیچ گونه وابستگی و رابطه‌ای در آن نیست، پر کند. درجات متفاوتی از خشونت وجود دارد: از شوک نسبتا طبیعی حاصل از بعضی اشکال هنر مدرن، پورنوگرافی و هرزگی گرفته تا ناهنجاری مفرط در ترورها و قتل‌ها ... وقتی زندگی درونی خشک می‌شود وقتی احساس رو به کاهش است و بی‌احساسی رو به فزونی، وقتی فرد نمی‌تواند بر دیگری تاثیر بگذارد یا حتی تماسی اصیل داشته باشد، خشونت مانند ضرورتی دیوآسا برای ارتباط شعله‌ور می‌شود، سائقی آتشین که تماس را با سرراست‌ترین شیوه ممکن ، به دیگری تحمیل می‌کند.", ویکتور هوگو
496, "از هیچ اندیشه تازه بدون فهم طرف‌داری نکنید، بلکه خود با شک و انکار در آن وارد شده و به حقیقت موضوع برسید.", رولو می
497, "تا زنده هستید، دل خود را زنده و شاداب نگهدارید؛ فرصت برای دلتنگی و مرگ بسیار زیاد است.", رنه دکارت
498, "آبادی یک کشور از روی میزان آزادیش سنجیده می شود، نه از روی حاصلخیزیش.", اسکار وایلد
499, "کسی ‌که به سرزمینی سفر کند و مختصر آشنایی به زبان رایج آن قوم نداشته باشد، به مدرسه می‌رود نه به سفر.", شارل دو مونتسکیو
500, "داروی شفابخش روح آدمی، فلسفه‌است.", فرانسیس بیکن
501, "فروید ما را به درون دوزخ دانته‌ای نیروهای دیوآسا برد و با مشاهدات تجربی فراوانی که به ما عرضه کرد، نشان داد امیال دیوآسا تا چه حد جدی‌اند و چطور ناهنجاری فکری، روان‌نژندی، روان‌پریشی و جنون، حاصل انحراف این نیروهاست. فروید نوشت:«کسی که به اندازه‌ی من اهریمنی‌ترین دیوهای نیمه‌اهلی ساکن در سینه‌ی آدمیزاد را احضار کرده و فراخوانده باشد و در پی دست و پنجه نرم کردن با آن ها برآمده باشد، نمی‌تواند انتظار داشته باشد از این ستیز صدمه نبیند و جان سالم به در ببرد.» ... در روان درمانی، تن دادن به وسوسه‌گریز از دیوآسایی؛ تنها به دلیل خطرناک بودن آن، کارساز نیست. درمان مشکلات روان شناختی از این طریق، به «سازگاری» بی‌خاصیتی منجر می‌شود. در این حالت، درمان افراد، جاده‌ی سلطنتی‌ای‌ست که به دل‌زدگی و ملال ختم می‌شود. تعجبی ندارد که بیماران، روان نژندی و روان‌پریشی را به «هنجاربودن» ترجیح می‌دهند زیرا در این هستی به کژراهه رفته، دست کم نیرو و سرزندگی سراغ کرده‌اند.", سیسرو
502, "انسان از این مغاک ها که بیرون آید و از این بیماری سخت که جان به در برد، به نوزادی بدل می شود با پوستی درخشان، ظریف تر و بددلانه تر و با ذائقه ای لطیف تر برای شادی، زبان حساس تری برای چشیدن همه چیزهای خوب، با حواسی طربناک تر، با بی گناهی خطرناکی در شادمانی، بسیار کودکانه تر و با وجود این صدها بار موشکافانه تر از قبل.", حکیم عمر خیام
503, "در زندگی وضعی نیست که انسان نتواند به آن خو بگیرد، به ویژه هنگامی که ببیند همه اطرافیانش آن را پذیرفته اند.", فردریش نیچه
504, مردم فرومایه از اشتباهات و لغزش‌های اشخاص بزرگ لذت فراوان می‌برند., لئو تولستوی
505, "ما در آرزوی دست یافتن به حقیقت مطلق هستیم، زیرا تاب تحمل پریشانی ناشی از بوالهوسی های هستی را نداریم. نیچه، آن را این طور توصیف کرده است:«حقیقت وهمی است که بدون آن یک گونه خاص قادر به زنده ماندن نیست.» ما خود را در جست و جویی درونی برای راه چاره تدهین کرده ایم؛ خود را از نیاز به «جزئی از کل بودن» انباشته ایم؛ سرسختانه به این باور وفاداریم که تفسیر - دست کم نوعی از تفسیر - امکان پذیر است. این باور، همه چیز را قابل تحمل و ما را در حس سلطه و قدرت غوطه ور می کند.", آرتور شوپنهاور
506, "در عصر ما دیگر چیزی به نام فاصله گرفتن از سیاست وجود ندارد. همه چیز سیاسی است و سیاست توده ای از دروغ، بهانه جویی، حماقت، نفرت و اسکیزوفرنی است.", اروین دیوید یالوم
507, "اگر عشق تنها یک ویژگی حقیقی داشته باشد، این است که هرگز نمی ماند؛ ناپایداری، بخشی از ماهیت شیدایی عشق است. ولی در شتاب بخشیدن به این مرگ احتیاط کنید. در جدال با عشق هم مانند مبارزه با یک اعتقاد مذهبی نیرومند، شما پیروز میدان نخواهید بود و به راستی شباهت های فراوانی میان عاشقی و تجربه خلسه ی مذهبی هست: یکی عشقش را «حال و هوای حضور در کلیسای سیستن»  می نامید و دیگر حال عشق را وضعیتی آسمانی و زوال ناپذیر می دانست) صبور باشید، بگذارید این بیمار باشد که نامعقول بودن احساساتش یا وارستگی از شیفتگی به معشوق را کشف کند و به زبان آورد.", جورج اورول
508, "روانکاو در مطب خود تعداد بسیاری بیمار می‌بیند که همگی با احساس گناه و شرمساری زندگی خود را تیره کرده‌اند. غالبا فایده‌ی اصلی یک درمان، پس زدن پرده‌ی بی ارزشی است. پرده‌ای که سنگینی آن فرد را خفه می کند و نیروهای حیاتی‌اش را متوقف می‌سازد. احساس گناه در فرایند تغییر، واقعا هیچ نقشی ندارد.هنگامی که شخصی از رفتار خود تخریب خود احساس گناه می‌کند، خود را بی ارزش کرده است؛ این بی ارزش کردن او را از آنچه برایش مفید است محروم می‌کند، چرا که خود را شایسته‌ی آن نمی داند. او خود را به خاطر رفتار تخریب کننده‌ای که انجام داده، تنبیه و از تجربیات مطلوب محروم می‌کند. به این ترتیب، بدترین قضاوت کننده و بدترین دشمن خود هستیم و نسبت به خود بسیار بی رحمانه تر رفتار می‌کنیم تا با دیگران.", اروین دیوید یالوم
509, همه‌جا شادمانی قشر نازکی است که روی رنج و بیچارگی کشیده‌اند., گی کورنو
510, "آرزو نکردن برابر است با مردن یا دست‌کم در سرزمین مردگان ساکن شدن. ویژگی دیگر سیری و دلزدگی‌ست: آرزو ها فقط عبارتند از فشارهایی که فرد را به‌سوی ارضای نهایی و برطرف شدن نیاز می‌رانند...در جایی که همه‌ی آرزوها برآورده شده، پوچی، خلأ و بیهودگی در اوج است. زیرا این به معنای آن است که فرد دیگر آرزو نمی‌کند.", ویکتور هوگو
511, "ای بسا کس که زنجیر خویش نتواند گسست، اما بندگُسلِ، دوستِ خویش تواند بود.", رولو می
512, نابخشودنی‌ترین چیز در تو این است که قدرت داری و فرمان نمی‌خواهی راند., فردریش نیچه
513, "از یک خود کامه، یک بدکار، یک گستاخ و یا کسی که سرفرازی درونی اش را رها کرده، چشم نیک اندیش نداشته باش.", فردریش نیچه
514, "بعضی متخصصان معتقدند که عبارت اصلی یونانی «خود را بشناس» به معنی آن است که «بدان فقط یک انسان هستی». یعنی همان طور که ما در روان کاوی می‌گوییم، آنچه باید «پذیرفت» یا «با آن کنار آمد»، میل کودکانه‌ی ما به بازی در نقش خدا و نیاز همه‌جایی‌مان به اینکه طوری با ما رفتار کنند که انگار خداییم.", جبران خلیل جبران
515, "من برای برقراری صلح، پیوسته هشدار می‌دهم؛ صلحی هرچند غیرعادلانه، به‌مراتب بهتر از جنگی عادلانه‌است.", رولو می
516, "«زن‌بودن برای من چه معنایی داشته‌است؟ تا چهل‌سال تمام وانمود می‌کردم که زن بودن تفاوتی ایجاد نمی‌کند. روشنفکر بودم و روشنفکر یعنی روشنفکر. من با روشنفکر شدن، هویت بزرگسالی خود را بر الگوی تعارض و مخالفتی عمدی قرار داده بودم. من به عنوان روشنفکر می‌توانستم احساس حاد زنانه طرد شدگی‌ام را با پناه بردن به سنت فردگرایی افراطی، نه به عنوان یک زن که به عنوان یک فرد، مانع شوم. همان‌گونه که قبلا تن نداده بودم که به من برچسب «کودک» بزنند، حالا نیز خود را «زن» نمی‌دانستم. من، من بودم.\\r\\nوقتی بالاخره شروع به تحقیق کردم تا ببینم زن بارآمدنم به واقع چه تاثیر متفاوتی در سرنوشت من داشته‌است، به یک‌باره همه چیز برایم روشن شد. این دنیا، دنیایی مردانه بود. کودکی من با اسطوره‌هایی گذشته بود که مردان ساخته بودند و واکنش من در برابر آنها اصلا شبیه آن نبود که اگر پسر می‌بودم می‌داشتم. این انقلاب شخصی من در یک جمله خلاصه می‌شود: من که می‌خواستم درباره خودم حرف بزنم، به این نتیجه رسیدم که برای این کار نخست باید وضع زنان را به طور کلی توصیف کنم. جنس دوم خلق شد، من چهل ساله بودم.»", سیسرو
517, "اگر گربه را نوازش کنی، خرخر می کند؛ و همین طور نیز به صورت اجتناب ناپذیری بر چهره انسانی که مورد ستایش واقع می شود، شادی و شعف نقش می بندد.", سیمون دوبوار
518, من از هرچه تنها بخواهد به‌من چیزی بیاموزد-بی‌آنکه بر شادمندی‌ام بیفزاید یا مرا نشاط تازه‌ای بخشد-نفرت دارم., آرتور شوپنهاور
519, "آن‌که انتظار دارد هر چهارفصل سال بهار باشد، نه خود را می‌شناسد، نه طبیعت را و نه زندگی را.", فردریش نیچه
520, "سپاس بر طبیعت، این نگهبان مدیر و مدبر که ضرورت‌های زندگی را سهل‌الوصول، و آن‌چه را صعب‌الحصول است، غیرضروری آفرید.", فرانسوا ولتر
521, دن کیشوت: به کدام دچاری؟ جنونی خردمندانه یا سلامت عقلی ابلهانه؟, اپیکور
522, "برای مبارزه با بیماری خاص مردان، یعنی تحقیر خویشتن، مطمئن ترین درمان آن است که زنی باهوش آنان را دوست بدارد.", میگل د سروانتس
523, "از روی سؤال‌های شخص، بهتر از جواب‌های او می‌توانید در باره‌اش قضاوت کنید.", فردریش نیچه
524, "هنگام به خاک سپردنم بگویید این که زیر خاک می‌کنیم تن سقراط است‌،نه خود او.", فرانسوا ولتر
525, "آدمی هر چه روح شادمانه و مطمئن تری داشته باشد، آن قهقهه ی بلند را بیش تر از یاد می برد و بر عکس پیوسته تبسمی نغز بر لبش نقش می بندد که نشانه شگفتی در باب امور پنهان و بسیار پسندیده در زندگی نیک است.", سقراط
526, "حقایق نهفته در پس تعالیم ادیان چنان اعوجاج یافته و به صورت نظام مند در لفافه پیچیده شده، که عامه مردم نمی توانند آن را درک کنند. درست مثل این که در پاسخ به کودکی که می خواهد بداند یک نوزاد از کجا آمده، پاسخ دهیم حاجی لک لک آن را آورده. در اینجا ما با زبانی سمبولیک حقیقتی را برای کودک بازگو کرده ایم، ولی کودک که نمی تواند معنای نهفته در پس سمبول لک لک را درک کند، به شک می افتد و احساس می کند سرش کلاه رفته است. اغلب از همینجاست که نطفه بی اعتمادی او نسبت به بزرگسالان بسته می شود و شروع به عصیان می کند. به خاطر همین، امروزه سعی می کنیم دیگر از زبان سمبلیک برای توضیح وقایعی که ورای درک کودک است استفاده نکنیم و حقایق را در حد فهم و درک او برایش توضیح دهیم.", حکیم عمر خیام
527, "اغلب گفته می شود که سه دگرگونی بزرگ در اندیشه، دیدگاه مرجعیت بشر را تهدید کرده است. اول، کپرنیک اثبات کرد که زمین مرکز عالم نیست تا در پیرامون آن همه اجرام سماوی بچرخند. دوم، داروین نشان داد که ما مرکز زنجیره حیات نیستیم، بلکه مانند همه مخلوقات، از اشکال دیگر حیات تکامل یافته ایم و سوم، فروید که ثابت کرد که ما اربابان خانه خود نیستیم، بیشتر رفتارهای ما توسط نیروهایی خارج از آگاهی و شعور ما کنترل و اداره می شوند. شکی نیست شریک نظریه فروید که مورد اعتراف وی قرار نگرفته، آرتور شوپنهاور است. چرا که سالها قبل از تولد فروید، شوپنهاور مطرح کرده بود که ما با نیروهای زیست شناختی پیچیده ای هدایت می شویم و سپس خود را با این تفکر فریب می دهیم که ما آگاهانه اعمال خود را انتخاب می کنیم.", زیگموند فروید
528, تجربه در واقع نامی است که ما بر اشتباهاتمان می نهیم., اروین دیوید یالوم
